,EP-EN,CP-EN,MIXED-EN,TOTAL-EN,EP-LN,CP-LN,MIXED-LN,TOTAL-LN
HadGEM3-GC31-HH_CTRL,8,0,1,9,6,2,1,9
HadGEM3-GC31-HH_HIST-FUT,3,6,2,11,0,7,0,7
EC-Earth3P-HR_CTRL,9,0,0,9,6,2,1,9
EC-Earth3P-HR_HIST-FUT,10,1,1,12,8,0,0,8
CNRM-CM6-1-HR_CTRL,0,6,2,8,2,3,0,5
CNRM-CM6-1-HR_HIST-FUT,9,2,0,11,7,0,0,7
CMCC-CM2-VHR4_CTRL,8,1,1,10,7,0,2,9
CMCC-CM2-VHR4_HIST-FUT,5,2,1,8,5,1,1,7
MPI-ESM1-2-HR_CTRL,3,5,0,8,2,7,0,9
MPI-ESM1-2-HR_HIST-FUT,2,5,2,9,1,3,1,5
MPI-ESM1-2-XR_CTRL,0,7,1,8,0,4,0,4
MPI-ESM1-2-XR_HIST-FUT,7,1,2,10,2,0,0,2
