,EP-EN,CP-EN,MIXED-EN,TOTAL-EN,EP-LN,CP-LN,MIXED-LN,TOTAL-LN
HadGEM3-GC31-HH_CTRL,9,1,1,11,6,2,2,10
HadGEM3-GC31-HH_HIST-FUT,10,1,0,11,9,2,1,12
EC-Earth3P-HR_CTRL,9,0,1,10,8,3,0,11
EC-Earth3P-HR_HIST-FUT,13,0,0,13,12,3,0,15
CNRM-CM6-1-HR_CTRL,7,2,0,9,4,1,1,6
CNRM-CM6-1-HR_HIST-FUT,8,0,2,10,10,1,1,12
CMCC-CM2-VHR4_CTRL,2,11,1,14,2,8,1,11
CMCC-CM2-VHR4_HIST-FUT,0,13,1,14,1,11,1,13
MPI-ESM1-2-HR_CTRL,6,2,2,10,9,2,3,14
MPI-ESM1-2-HR_HIST-FUT,10,2,1,13,4,1,4,9
MPI-ESM1-2-XR_CTRL,9,0,0,9,7,0,1,8
MPI-ESM1-2-XR_HIST-FUT,0,8,1,9,1,4,0,5
NPD_eORCA025_ERA5,11,0,2,13,10,3,1,14
NPD_eORCA025_JRA55,9,1,1,11,8,1,3,12
EN4,10,1,2,13,10,1,3,14
ORAS5,10,1,1,12,9,3,1,13
