,EP-EN,CP-EN,MIXED-EN,EP-LN,CP-LN,MIXED-LN
HadGEM3-GC31-HH_CTRL,0.8888888888888888,0.0,0.1111111111111111,0.6666666666666666,0.2222222222222222,0.1111111111111111
HadGEM3-GC31-HH_HIST-FUT,0.2727272727272727,0.5454545454545454,0.18181818181818182,0.0,1.0,0.0
EC-Earth3P-HR_CTRL,1.0,0.0,0.0,0.6666666666666666,0.2222222222222222,0.1111111111111111
EC-Earth3P-HR_HIST-FUT,0.8333333333333334,0.08333333333333333,0.08333333333333333,1.0,0.0,0.0
CNRM-CM6-1-HR_CTRL,0.0,0.75,0.25,0.4,0.6,0.0
CNRM-CM6-1-HR_HIST-FUT,0.8181818181818182,0.18181818181818182,0.0,1.0,0.0,0.0
CMCC-CM2-VHR4_CTRL,0.8,0.1,0.1,0.7777777777777778,0.0,0.2222222222222222
CMCC-CM2-VHR4_HIST-FUT,0.625,0.25,0.125,0.7142857142857143,0.14285714285714285,0.14285714285714285
MPI-ESM1-2-HR_CTRL,0.375,0.625,0.0,0.2222222222222222,0.7777777777777778,0.0
MPI-ESM1-2-HR_HIST-FUT,0.2222222222222222,0.5555555555555556,0.2222222222222222,0.2,0.6,0.2
MPI-ESM1-2-XR_CTRL,0.0,0.875,0.125,0.0,1.0,0.0
MPI-ESM1-2-XR_HIST-FUT,0.7,0.1,0.2,1.0,0.0,0.0
