,HadGEM3-GC31-HH_CTRL,HadGEM3-GC31-HH_HIST-FUT,EC-Earth3P-HR_CTRL,EC-Earth3P-HR_HIST-FUT,CNRM-CM6-1-HR_CTRL,CNRM-CM6-1-HR_HIST-FUT,CMCC-CM2-VHR4_CTRL,CMCC-CM2-VHR4_HIST-FUT,MPI-ESM1-2-HR_CTRL,MPI-ESM1-2-HR_HIST-FUT,MPI-ESM1-2-XR_CTRL,MPI-ESM1-2-XR_HIST-FUT,NPD_eORCA025_ERA5,NPD_eORCA025_JRA55,EN4,ORAS5
1976-01-01,,,,,,,,,,,,,,,,
1976-02-01,-1.5823471654128787,-0.005085248910936313,0.6463417748181209,-0.8688403305112468,0.2539022764727826,0.33796755007665485,0.5579355529668136,-0.6145802231612204,1.0579088812824526,2.5707483552984374,-0.13199530783282684,-1.1691383785907925,-0.6985132888053718,-0.8273160756748338,-0.48264997194495046,-1.4746686883068587
1976-03-01,-1.3248732955884457,-0.1747796921764768,0.6065656600182252,-1.043505129744861,0.2946173503442715,0.0912440155403329,0.7586037830929778,-0.7305659343317092,1.0516806458210717,2.272973636465133,-0.27269203812922554,-1.0221076002864067,-0.7892581969091633,-0.8095237005999998,-0.46548715548175706,-1.1929815455601134
1976-04-01,-0.910317795958032,-0.38288361514254304,0.5773966234764277,-1.0025895007462478,0.2629239478682866,-0.17360362412086908,0.9303837367172042,-0.8407155614432474,1.3355349099243556,2.123824692011381,-0.29257139079006417,-0.9660199827461332,-0.6524710931638142,-0.6290676029161556,-0.5081697074265976,-0.8390565546419722
1976-05-01,-0.6827578953915511,-0.5051827807625779,0.5120470729734062,-0.7879041767832634,0.08957659495369293,-0.17954096355818938,1.3252078722642726,-1.1782599192908345,1.6483400039550782,2.2263908601413296,-0.2997062986971597,-1.0164489138370731,-0.31559688692602406,-0.3459225177353526,-0.35473580482070277,-0.4895056538667139
1976-06-01,-0.48937159207921654,-0.4704334513594097,0.3011059857828899,-0.633078595259096,0.0832802013899986,-0.23089662671581432,1.7000760094080682,-1.3274214340460555,1.4636740182340826,2.2458219205885133,-0.22154704202460862,-1.1987284860969236,0.01148691704197822,-0.10602638382052743,-0.1767033466513103,-0.11249531688517504
1976-07-01,-0.25024093443214057,-0.43155776384933237,0.03350326609456769,-0.4853149295511783,0.24131687009752545,-0.2840691910591384,2.0544425373873962,-1.4070297149692257,0.8019775544807922,1.8921173618003981,-0.24846364468075077,-1.2820203173599738,0.29913757507079136,0.10192700104686007,0.07960890982042691,0.12841805299513212
1976-08-01,-0.04567937827956145,-0.4322915988577267,-0.18608669695537763,-0.3474565714306647,0.271759082760522,-0.49775336741620047,2.1417976673913532,-1.3320918039429153,0.07990062412380677,1.3066698004809538,-0.14684135838012208,-1.1521959534884445,0.49384201059592076,0.20058046418901396,0.2052422940631874,0.2886206445852451
1976-09-01,0.06043673734472423,-0.47458878900654433,-0.3617260173895207,-0.2689817854680939,0.261049644298652,-0.6244648984269843,2.1733964343946854,-1.298302950371023,-0.2801014181385522,0.7875337533347927,-0.002535108223146676,-1.0332248622707159,0.7336823174743369,0.3416890698175467,0.4291460026239786,0.406559719868757
1976-10-01,0.19093686147304115,-0.5935065236792753,-0.48535716895644737,-0.3172730968426905,0.1447928716196127,-0.765745233826007,2.1705493663933653,-1.3101268752818094,-0.18684903886751894,0.5128195446341195,0.38959759434591934,-0.9906614841425306,0.9118182014694094,0.41070735186150875,0.6378708277132171,0.4494532128423856
1976-11-01,0.36192869370246816,-0.7149239100036345,-0.6022122972007192,-0.3984865806400732,0.13019004403941922,-0.8367992442715018,2.095512600055758,-1.2205416651561334,-0.02465823238847989,0.41250725594484233,0.6657064366953335,-1.078821638601117,0.9618075439646283,0.4227076248657387,0.7659067272120573,0.44778681827488276
1976-12-01,0.5516023838023826,-0.8146249379449721,-0.5878648658646598,-0.4173621320336533,0.10471775975115727,-0.8612478626026224,2.05085962688494,-1.1178996063303355,0.15558301366564722,0.3841221471754713,0.7689389810249064,-1.3265171384672698,0.8233917039949575,0.29894487676238185,0.8500335861229908,0.4244243972492181
1977-01-01,0.5600005564429724,-0.8423436880855716,-0.46001529565315596,-0.2714730972778708,0.02939263453839548,-0.6938940698284378,1.8351385482523621,-0.904470973400113,-0.03836368368349178,0.26585195239381143,0.7891615737809378,-1.5010991002441747,0.6025558835774832,0.2636437494149678,0.7394973980146965,0.3787028179773036
1977-02-01,0.5946031779650038,-0.6251738225544025,-0.27444290264573773,-0.06145131609103895,-0.11243421913364465,-0.4564926766563966,1.601862134215174,-0.39979249860594424,-0.48232989749320804,0.11670407552902683,0.7760713675135582,-1.4289744237634023,0.3431160098905543,0.24667116953724713,0.6341599125140577,0.19562571769078285
1977-03-01,0.6968652268706957,-0.44054304894479746,-0.19418279322292567,0.08720633346699173,-0.22089341102528337,-0.2751148766345159,1.3700240186146428,0.10588082991403176,-0.9388399141275344,0.17969341298634356,0.7345729193014469,-0.8974267542522975,0.056745129962988916,0.18808160046417444,0.5327757112191284,-0.09556947440291691
1977-04-01,0.8328742940691441,-0.10638689765020652,-0.18712137161472964,0.2239327698054289,-0.18317539757003545,-0.12905452057291938,1.3083841615211318,0.6070189198811808,-1.0107141411532503,0.43832624244076285,0.6606181235323241,-0.2449945154947979,-0.1133509868345237,0.12446713483715797,0.5682980759258233,-0.22292636307547756
1977-05-01,0.9411651791175643,0.058819356931916256,-0.17537917395745384,0.34280518357399553,-0.14535767452516243,0.10302585621802325,1.0916614649632967,0.9810287821826664,-0.97075140330116,0.42341069781959667,0.7823437837759308,0.08646937093970421,-0.12631440680618872,0.18802388149236493,0.6906872031283657,-0.17243375549910303
