DATASET,PSD_PEAK_T,EN_MEAN_DUR,LN_MEAN_DUR,EN_MEAN_MAX_INTENSITY,LN_MEAN_MAX_INTENSITY,STD_ONI,ASYMMETRY_RATIO
HadGEM3-GC31-HH_CTRL,4.0,12.22,12.44,1.28,1.21,0.79,1.06
HadGEM3-GC31-HH_HIST-FUT,4.0,16.09,12.14,1.45,1.41,0.95,1.03
EC-Earth3P-HR_CTRL,2.86,9.0,12.22,1.32,1.19,0.72,1.11
EC-Earth3P-HR_HIST-FUT,2.86,13.17,12.5,1.95,1.85,1.14,1.06
CNRM-CM6-1-HR_CTRL,4.0,10.88,10.0,1.2,1.41,0.65,0.85
CNRM-CM6-1-HR_HIST-FUT,4.0,12.91,11.29,1.37,1.2,0.79,1.14
CMCC-CM2-VHR4_CTRL,4.0,18.1,17.67,1.84,2.17,1.47,0.85
CMCC-CM2-VHR4_HIST-FUT,4.0,21.38,16.29,2.03,2.14,1.26,0.95
MPI-ESM1-2-HR_CTRL,5.0,16.25,16.0,1.74,1.57,1.11,1.11
MPI-ESM1-2-HR_HIST-FUT,5.0,15.78,19.2,1.47,1.75,0.92,0.84
MPI-ESM1-2-XR_CTRL,6.67,11.0,14.5,1.09,1.35,0.62,0.81
MPI-ESM1-2-XR_HIST-FUT,10.0,11.7,19.0,0.95,1.38,0.54,0.69
